hour_offset,wind_speed_mps,wind_dir_deg,temp_c,humidity
0,2.4,180,29.0,68
1,2.5,180,29.2,67
2,2.7,175,29.4,66
3,2.8,170,29.5,65
4,3.0,165,29.1,66
5,3.1,160,28.5,69
6,2.8,155,27.9,72
7,2.5,155,27.1,75
8,2.3,160,26.4,78
9,2.2,165,25.9,81
10,2.1,170,25.5,83
11,2.0,180,25.2,85
12,2.2,185,24.9,86
13,2.4,190,24.7,87
14,2.6,195,24.5,88
15,2.7,200,24.4,88
16,2.9,205,24.6,87
17,3.1,210,25.2,84
18,3.0,205,26.0,80
19,2.8,200,27.3,76
20,2.6,195,28.1,73
21,2.5,190,28.6,71
22,2.4,185,28.8,70
23,2.3,180,28.9,69
